"# 13th Generation International Geomagnetic Reference Field Schmidt semi-normalised spherical harmonic coefficients, degree n=1,13",,,,,
"# in units nanoTesla for IGRF and definitive DGRF main-field models (degree n=1,8 nanoTesla/year for secular variation (SV))",,,,,
cos/sin,degree,order,DGRF,IGRF,SV
g,13,1,-0.92,-0.9,0
h,13,1,-0.88,-0.9,0
g,13,2,0.42,0.5,0
h,13,2,0.49,0.6,0
g,13,3,0.63,0.7,0
h,13,3,1.56,1.4,0
g,13,4,-0.42,-0.3,0
h,13,4,-0.5,-0.4,0
g,13,5,0.96,0.8,0
h,13,5,-1.24,-1.3,0
g,13,6,-0.19,0,0
h,13,6,-0.1,-0.1,0
g,13,7,0.81,0.8,0
h,13,7,0.42,0.3,0
g,13,8,-0.13,0,0
h,13,8,-0.04,-0.1,0
g,13,9,0.38,0.4,0
h,13,9,0.48,0.5,0
g,13,10,0.08,0.1,0
h,13,10,0.48,0.5,0
g,13,11,0.46,0.5,0
h,13,11,-0.3,-0.4,0
g,13,12,-0.35,-0.5,0
h,13,12,-0.43,-0.4,0
g,13,13,-0.36,-0.4,0
h,13,13,-0.71,-0.6,0
